match_id,innings,start_date,year,batter,batting_team,bowling_team,venue,balls_faced,runs,event,wicket_type,batting_position,entry_over,runs_at_entry,wickets_at_entry,is_chasing,career_innings,career_avg,career_sr,career_balls_per_dismissal
406196,1,2010-02-19,2010,SR Watson,Australia,West Indies,Melbourne Cricket Ground,51,51,1,caught,1,0,0,0,0,6,40.833333333333336,92.10526315789474,44.333333333333336
406196,1,2010-02-19,2010,BJ Haddin,Australia,West Indies,Melbourne Cricket Ground,42,32,1,bowled,2,0,1,0,0,6,27.333333333333332,109.33333333333333,25.0
406196,1,2010-02-19,2010,RT Ponting,Australia,West Indies,Melbourne Cricket Ground,55,61,1,caught,3,14,81,1,0,9,44.875,77.87418655097613,57.625
406196,1,2010-02-19,2010,MJ Clarke,Australia,West Indies,Melbourne Cricket Ground,58,47,1,caught,4,16,86,2,0,7,44.0,76.74418604651163,57.333333333333336
406196,1,2010-02-19,2010,CL White,Australia,West Indies,Melbourne Cricket Ground,33,22,1,caught,5,33,187,3,0,8,43.375,83.81642512077295,51.75
441827,1,2010-02-21,2010,V Kohli,India,South Africa,Sawai Mansingh Stadium,46,31,1,caught,5,18,107,3,0,5,80.0,96.49122807017544,95.0
441828,1,2010-02-24,2010,MS Dhoni,India,South Africa,Captain Roop Singh Stadium,35,68,0,,5,41,292,3,0,5,52.5,80.76923076923077,65.0
441829,2,2010-02-27,2010,V Kohli,India,South Africa,"Sardar Patel Stadium, Motera",71,57,1,caught,3,3,26,1,1,6,76.5,92.44712990936556,82.75
441829,2,2010-02-27,2010,MS Dhoni,India,South Africa,"Sardar Patel Stadium, Motera",7,9,1,caught,5,25,130,3,1,6,69.5,94.23728813559322,73.75
441829,2,2010-02-27,2010,SK Raina,India,South Africa,"Sardar Patel Stadium, Motera",30,49,1,caught,6,27,150,4,1,5,80.0,94.03508771929825,95.0
426420,1,2010-02-28,2010,Tamim Iqbal,Bangladesh,England,Shere Bangla National Stadium,120,125,1,bowled,1,0,0,0,0,7,29.857142857142858,94.14414414414415,31.714285714285715
426420,1,2010-02-28,2010,Imrul Kayes,Bangladesh,England,Shere Bangla National Stadium,27,15,1,caught,2,0,5,0,0,7,41.0,75.72559366754618,54.142857142857146
426420,1,2010-02-28,2010,Shakib Al Hasan,Bangladesh,England,Shere Bangla National Stadium,28,12,1,caught,5,12,82,3,0,7,25.285714285714285,70.5179282868526,35.857142857142854
426420,1,2010-02-28,2010,Mushfiqur Rahim,Bangladesh,England,Shere Bangla National Stadium,34,22,1,run out,6,19,107,4,0,7,25.428571428571427,71.2,35.714285714285715
426420,1,2010-02-28,2010,Mahmudullah,Bangladesh,England,Shere Bangla National Stadium,1,0,1,caught,7,29,141,5,0,7,57.5,89.49416342412451,64.25
426420,1,2010-02-28,2010,Naeem Islam,Bangladesh,England,Shere Bangla National Stadium,31,25,1,caught,8,29,141,6,0,7,32.75,73.59550561797752,44.5
426421,1,2010-03-02,2010,Tamim Iqbal,Bangladesh,England,Shere Bangla National Stadium,25,30,1,caught,1,0,0,0,0,8,41.75,97.6608187134503,42.75
426421,1,2010-03-02,2010,Imrul Kayes,Bangladesh,England,Shere Bangla National Stadium,113,63,1,caught,2,1,4,0,0,8,37.75,74.38423645320196,50.75
426421,1,2010-03-02,2010,Mushfiqur Rahim,Bangladesh,England,Shere Bangla National Stadium,88,76,1,caught,4,11,53,2,0,8,25.0,70.4225352112676,35.5
426421,1,2010-03-02,2010,Shakib Al Hasan,Bangladesh,England,Shere Bangla National Stadium,13,14,1,caught and bowled,5,33,142,3,0,8,23.625,67.74193548387096,34.875
426421,1,2010-03-02,2010,Mahmudullah,Bangladesh,England,Shere Bangla National Stadium,36,27,1,bowled,6,36,159,4,0,8,46.0,89.14728682170542,51.6
426421,1,2010-03-02,2010,Naeem Islam,Bangladesh,England,Shere Bangla National Stadium,14,18,0,,7,44,199,5,0,8,31.2,74.64114832535886,41.8
423791,1,2010-03-03,2010,SR Watson,Australia,New Zealand,McLean Park,31,45,1,caught,1,0,0,0,0,7,42.285714285714285,93.37539432176656,45.285714285714285
423791,1,2010-03-03,2010,BJ Haddin,Australia,New Zealand,McLean Park,16,12,1,bowled,2,1,14,0,0,7,28.5,97.43589743589743,29.25
423791,1,2010-03-03,2010,RT Ponting,Australia,New Zealand,McLean Park,56,44,1,caught,3,7,54,1,0,10,46.666666666666664,81.3953488372093,57.333333333333336
423791,1,2010-03-03,2010,MJ Clarke,Australia,New Zealand,McLean Park,31,22,1,caught,4,9,62,2,0,8,44.42857142857143,77.363184079602,57.42857142857143
423791,1,2010-03-03,2010,CL White,Australia,New Zealand,McLean Park,49,33,1,bowled,5,18,101,3,0,9,41.0,82.5503355704698,49.666666666666664
423791,1,2010-03-03,2010,MEK Hussey,Australia,New Zealand,McLean Park,59,59,1,bowled,6,26,148,4,0,8,52.5,100.0,52.5
423791,1,2010-03-03,2010,JR Hopes,Australia,New Zealand,McLean Park,42,33,1,bowled,7,34,171,5,0,5,37.75,134.82142857142858,28.0
423791,1,2010-03-03,2010,NM Hauritz,Australia,New Zealand,McLean Park,5,4,1,caught,9,47,250,7,0,6,40.0,114.28571428571429,35.0
439140,2,2010-03-04,2010,CH Gayle,West Indies,Zimbabwe,Providence Stadium,66,57,1,lbw,1,0,0,0,1,5,13.75,144.73684210526315,9.5
426422,2,2010-03-05,2010,Tamim Iqbal,Bangladesh,England,Zohur Ahmed Chowdhury Stadium,3,0,1,caught,1,0,0,0,1,9,40.44444444444444,99.1825613079019,40.77777777777778
426422,2,2010-03-05,2010,Imrul Kayes,Bangladesh,England,Zohur Ahmed Chowdhury Stadium,30,17,1,caught,3,0,1,1,1,9,40.55555555555556,70.32755298651253,57.666666666666664
426422,2,2010-03-05,2010,Mushfiqur Rahim,Bangladesh,England,Zohur Ahmed Chowdhury Stadium,43,40,1,caught,4,9,37,2,1,9,30.666666666666668,74.19354838709677,41.333333333333336
426422,2,2010-03-05,2010,Shakib Al Hasan,Bangladesh,England,Zohur Ahmed Chowdhury Stadium,38,38,1,lbw,5,20,92,3,1,9,22.555555555555557,69.52054794520548,32.44444444444444
426422,2,2010-03-05,2010,Mahmudullah,Bangladesh,England,Zohur Ahmed Chowdhury Stadium,54,33,1,caught,6,25,121,4,1,9,42.833333333333336,87.41496598639456,49.0
426422,2,2010-03-05,2010,Naeem Islam,Bangladesh,England,Zohur Ahmed Chowdhury Stadium,31,18,1,caught,7,33,151,5,1,9,34.8,78.02690582959642,44.6
